成都,北京,2019-03-16,False,中国国航,CA4105,16:00,18:40,87%,1810
成都,北京,2019-03-16,False,四川航空,3U8895,16:20,18:55,90%,1620
成都,北京,2019-03-16,False,南方航空,CZ6184,16:30,19:10,73%,1620
成都,北京,2019-03-16,False,四川航空,3U8889,16:30,19:15,70%,1620
成都,北京,2019-03-16,False,中国国航,CA4117,17:00,19:40,53%,1810
成都,北京,2019-03-16,False,东方航空,MU5274,17:30,20:05,93%,1550
成都,北京,2019-03-16,False,中国国航,CA4119,18:05,20:40,93%,1810
成都,北京,2019-03-16,False,四川航空,3U8893,18:10,20:55,70%,1620
成都,北京,2019-03-16,False,中国国航,CA4111,19:30,22:10,97%,1930
成都,北京,2019-03-16,False,四川航空,3U8891,19:30,22:10,83%,1430
成都,北京,2019-03-16,False,南方航空,CZ3904,19:35,22:15,87%,1420
成都,北京,2019-03-16,False,海南航空,HU7248,21:15,23:55,30%,1095
成都,北京,2019-03-16,False,南方航空,CZ6136,21:20,23:55,13%,1230
成都,北京,2019-03-16,False,中国国航,CA1426,21:30,00:15,33%,1430
成都,北京,2019-03-16,False,中国联航,KN5218,22:30,00:55,87%,848
成都,北京,2019-03-16,False,深圳航空,ZH9164,22:35,01:20,43%,1080
成都,呼和浩特,2019-03-16,False,华夏航空,G56913,19:45,22:00,100%,1180
成都,呼和浩特,2019-03-16,False,四川航空,3U8549,19:45,22:00,100%,1140
成都,呼和浩特,2019-03-16,False,华夏航空,G54090,20:30,22:50,87%,1040
成都,呼和浩特,2019-03-16,False,中国国航,CA1654,20:30,22:50,87%,990
成都,呼和浩特,2019-03-16,False,华夏航空,G53176A,21:35,08:30,,640
成都,克拉玛依,2019-03-16,False,中国国航,CA4031,08:55,12:55,83%,1660
上海,广州,2019-03-16,False,南方航空,CZ3505,06:55,09:40,97%,1040
上海,广州,2019-03-16,False,东方航空,MU9307,07:30,10:05,100%,1200
上海,广州,2019-03-16,False,上海航空,FM9307,07:30,10:05,100%,1200
上海,广州,2019-03-16,False,东方航空,MU9301,08:30,11:05,90%,1600
上海,广州,2019-03-16,False,上海航空,FM9301,08:30,11:05,90%,1600
上海,广州,2019-03-16,False,南方航空,CZ3596,08:50,11:25,97%,1360
上海,广州,2019-03-16,False,海南航空,HU7132,09:00,11:35,97%,1115
上海,广州,2019-03-16,False,东方航空,MU9303,09:00,11:40,83%,1520
上海,广州,2019-03-16,False,上海航空,FM9303,09:00,11:40,83%,1520
上海,广州,2019-03-16,False,东方航空,MU5393,09:20,12:00,90%,1600
上海,广州,2019-03-16,False,东方航空,MU9305,09:30,12:10,87%,1600
上海,广州,2019-03-16,False,上海航空,FM9305,09:30,12:10,87%,1600
上海,广州,2019-03-16,False,南方航空,CZ3548,09:50,12:30,83%,1600
上海,广州,2019-03-16,False,东方航空,MU5303,10:30,13:05,80%,1600
上海,广州,2019-03-16,False,南方航空,CZ3534,10:50,13:25,83%,1360
上海,广州,2019-03-16,False,东方航空,MU5305,11:30,14:05,80%,1600
上海,广州,2019-03-16,False,南方航空,CZ3524,11:45,14:15,80%,1200
上海,广州,2019-03-16,False,海南航空,HU7142,11:55,14:40,83%,1115
上海,广州,2019-03-16,False,金鹏航空,Y87142,11:55,14:40,83%,1120
上海,广州,2019-03-16,False,中国国航,CA1837,12:35,15:05,80%,1110
